EquipmentID,Age,UsageHours,MaintenanceHistory,Temperature,Pressure,VibrationLevel,OperatorExperience,FailureHistory,Location,Environment,Failure
170,11,1576,5,137.39,147.99,4.82,26,4,Section B,Humid,Yes
171,17,20196,10,37.77,202.81,7.8,21,8,Section B,Dry,No
172,10,49568,4,62.34,101.77,7.25,2,5,Section A,Normal,No
173,25,35570,10,126.02,139.75,4.2,6,6,Section B,Dry,Yes
174,15,34682,7,102.19,53.36,2.22,5,7,Section D,Normal,No
175,6,30361,13,118.69,89.87,0.71,3,7,Section A,Humid,Yes
176,9,29117,17,144.67,276.73,7.27,25,9,Section B,Humid,No
177,29,19367,19,138.74,208.84,6.99,15,4,Section D,Normal,Yes
178,26,4154,0,57.26,176.03,2.92,6,2,Section C,Humid,No
179,2,45794,9,58.86,178.71,9.53,12,8,Section C,Humid,Yes
180,2,8511,18,31.23,210.52,6.54,13,7,Section A,Humid,No
181,22,14546,6,68.81,102.65,6.69,23,4,Section A,Dry,Yes
182,12,37134,12,120.68,58.5,5.68,7,9,Section C,Dry,No
183,17,10416,15,53.59,152.55,6.5,8,6,Section A,Humid,No
184,18,15987,17,127.64,277.28,9.99,5,2,Section A,Dry,Yes
185,12,33133,5,94.51,177.67,8.03,4,1,Section A,Humid,Yes
186,21,37006,6,66.82,270.68,4.28,19,9,Section B,Normal,Yes
187,22,27537,15,74.37,81.5,2.03,26,1,Section A,Dry,Yes
188,28,39452,5,120.22,118.37,7.56,11,6,Section A,Dry,No
189,14,21219,10,61.1,210.06,8.8,6,4,Section C,Dry,Yes
190,21,28473,6,113.16,55.87,5.28,19,4,Section D,Normal,Yes
191,3,40607,17,74.21,87.57,9.24,5,6,Section B,Humid,No
192,6,17888,2,126.06,77.58,5.63,18,7,Section B,Normal,Yes
193,25,49919,16,47.52,179.29,2.24,9,4,Section C,Dry,Yes
194,4,28009,15,60.13,270.38,4.32,23,5,Section D,Dry,No
195,13,37567,18,84.67,50.8,4.27,7,6,Section D,Normal,Yes
196,19,1680,18,117.36,63.99,1.82,16,9,Section D,Dry,No
197,15,2380,10,40.49,215.94,6.91,2,6,Section B,Normal,No
198,10,5207,0,137.44,142.12,8.44,7,8,Section D,Humid,Yes
199,7,5440,13,22.32,273.34,2.17,20,1,Section D,Humid,No
200,24,21161,18,23.43,184.47,7.7,6,6,Section C,Humid,No
201,11,1380,10,78.36,64.91,1.54,26,2,Section D,Humid,No
202,24,1792,19,127.73,51.73,3.39,4,1,Section A,Normal,No
203,26,46184,16,37.12,159.78,7.42,29,9,Section B,Dry,Yes
204,13,21205,1,83.1,149.28,4.06,20,6,Section B,Dry,Yes
205,9,8028,16,75.76,170.34,0.18,29,5,Section C,Dry,Yes
206,27,24431,5,116.83,157.4,8.16,6,8,Section B,Dry,Yes
207,16,49501,15,47.79,200.47,2.32,17,4,Section B,Normal,Yes
208,7,27115,8,97.22,275.19,8.57,15,2,Section A,Normal,Yes
209,6,25550,8,139.55,239.0,2.62,7,6,Section C,Normal,Yes
210,16,44202,9,27.17,182.3,2.62,16,5,Section C,Dry,No
211,5,5801,9,134.98,181.87,8.85,26,8,Section C,Humid,No
212,5,28195,5,47.16,295.72,3.56,1,2,Section C,Humid,No
213,13,24390,0,30.73,285.46,6.7,1,3,Section C,Humid,Yes
214,26,24317,2,61.49,89.3,3.63,27,4,Section B,Humid,Yes
215,15,25444,6,86.32,209.09,5.46,26,7,Section B,Dry,No
216,17,6910,8,66.42,127.96,7.73,19,4,Section B,Normal,Yes
217,11,34562,13,37.24,99.86,9.19,28,3,Section D,Dry,No
218,14,42458,14,81.97,285.56,6.55,29,9,Section B,Normal,No
219,23,9165,18,20.27,71.49,3.87,4,0,Section A,Normal,No
220,22,12056,9,21.24,56.82,4.0,3,1,Section B,Normal,Yes
221,7,43989,15,128.07,167.63,1.65,7,4,Section A,Humid,No
222,26,30867,0,93.88,184.01,5.7,12,3,Section A,Humid,Yes
223,25,6893,6,67.26,76.8,8.44,13,7,Section A,Humid,Yes
224,9,27903,10,72.38,286.81,1.39,13,2,Section C,Normal,No
225,18,38255,14,79.3,73.04,2.68,12,1,Section A,Normal,Yes
226,3,34981,12,50.65,230.42,0.29,2,1,Section C,Normal,No
227,26,21941,18,114.5,141.25,5.31,9,5,Section A,Humid,No
228,9,13528,10,59.94,115.73,0.68,5,9,Section A,Humid,No
229,3,26080,12,94.95,102.76,5.83,2,4,Section C,Normal,No
230,14,11553,7,37.49,93.97,2.91,28,8,Section D,Dry,No
231,29,25999,9,23.58,181.97,8.05,24,3,Section C,Normal,No
232,29,45326,15,39.41,61.19,5.4,25,5,Section B,Humid,Yes
233,28,10874,16,65.84,242.62,4.87,5,8,Section D,Humid,No
234,20,17389,16,38.07,108.36,2.39,14,1,Section D,Dry,Yes
235,5,19444,12,105.7,158.54,9.26,22,3,Section C,Humid,Yes
236,16,4116,12,41.18,70.06,9.53,17,1,Section C,Normal,Yes
237,26,47389,14,125.69,167.45,7.57,26,4,Section D,Normal,Yes
238,28,35181,11,123.47,206.66,3.13,10,0,Section D,Normal,No
239,22,37671,10,56.87,62.35,7.9,2,3,Section C,Humid,No
240,28,4040,0,80.55,267.09,7.27,19,4,Section D,Humid,Yes
241,27,49824,2,108.8,124.65,2.19,21,8,Section A,Humid,No
242,26,46320,17,75.16,135.1,0.91,20,4,Section C,Normal,Yes
243,26,48319,11,30.18,91.48,2.01,12,5,Section C,Normal,No
244,18,15042,0,56.07,270.95,8.68,5,7,Section A,Normal,No
245,27,308,19,86.74,136.41,1.65,22,2,Section B,Humid,No
246,28,44120,1,126.12,124.39,7.94,10,9,Section A,Normal,Yes
247,6,40966,17,29.0,229.93,3.25,26,3,Section D,Dry,Yes
248,19,35815,0,42.95,128.89,7.26,24,4,Section D,Humid,No
249,13,32817,2,141.04,165.38,9.0,11,6,Section D,Normal,Yes
250,7,20040,9,61.36,299.91,7.9,10,4,Section D,Dry,No
251,9,40004,15,69.08,172.57,5.42,9,4,Section B,Dry,Yes
252,29,22255,14,106.57,165.81,0.15,27,8,Section B,Humid,No
253,21,25637,2,67.89,249.55,1.46,10,5,Section A,Dry,Yes
254,24,18857,12,50.0,60.66,7.86,5,3,Section A,Dry,No
255,22,11024,6,145.9,143.89,1.06,28,5,Section D,Normal,No
256,8,12002,10,87.73,225.13,9.73,28,9,Section B,Humid,No
257,20,29253,2,68.23,278.11,9.71,10,2,Section D,Dry,No
258,23,13525,2,119.0,212.19,3.01,10,5,Section B,Humid,Yes
259,12,48907,14,33.29,182.47,0.44,4,8,Section C,Humid,Yes
260,9,6958,1,137.28,165.29,7.49,14,2,Section B,Humid,No
261,28,32219,6,125.54,169.72,1.99,27,0,Section C,Humid,Yes
262,23,8429,1,68.94,167.83,7.36,20,8,Section A,Humid,No
263,18,27463,17,44.23,284.81,3.42,8,2,Section A,Dry,Yes
264,21,17078,2,131.74,252.53,3.79,15,7,Section A,Humid,Yes
265,25,31131,17,144.3,131.09,6.05,7,8,Section B,Humid,Yes
266,1,43429,17,26.22,65.16,1.72,17,1,Section B,Normal,Yes
267,4,2912,18,148.37,220.96,9.7,11,4,Section C,Humid,Yes
268,9,20592,7,70.22,232.25,0.53,20,3,Section A,Dry,Yes
269,9,47618,17,124.8,243.03,9.48,29,4,Section B,Humid,Yes
270,26,6820,11,79.51,108.23,3.06,11,3,Section D,Normal,Yes
271,21,31152,11,87.84,209.17,6.7,26,3,Section A,Humid,No
272,16,7442,3,89.67,209.81,9.98,7,2,Section D,Dry,No
273,1,46674,10,145.24,77.74,2.45,13,1,Section A,Normal,Yes
274,25,41276,12,101.88,243.44,4.8,7,7,Section B,Dry,Yes
275,17,36574,14,58.5,198.02,0.33,27,2,Section B,Normal,No
276,11,21193,9,101.46,174.4,2.23,15,9,Section C,Humid,Yes
277,14,16490,2,31.74,59.93,1.47,14,1,Section A,Dry,Yes
278,26,32577,9,63.08,164.6,7.57,19,7,Section D,Humid,Yes
279,14,4212,18,42.59,262.67,6.95,19,7,Section D,Humid,No
280,21,41531,7,98.78,143.02,4.94,3,4,Section A,Humid,Yes
281,3,38499,3,89.13,294.89,0.12,16,1,Section C,Humid,No
282,17,44233,14,114.21,246.73,2.14,26,9,Section A,Normal,No
283,4,13300,18,64.01,255.92,6.8,25,7,Section C,Normal,No
284,1,23092,3,148.11,197.03,0.23,18,3,Section D,Humid,Yes
285,10,30169,18,61.6,120.21,5.87,13,4,Section B,Dry,Yes
286,17,41888,4,26.8,150.62,1.69,9,8,Section B,Dry,No
287,22,14157,8,55.16,204.48,5.86,13,5,Section A,Dry,No
288,15,16812,11,101.11,271.28,7.93,9,3,Section B,Dry,No
289,7,47590,17,118.84,231.66,8.75,9,9,Section C,Normal,No
290,20,19728,5,51.45,140.04,4.38,7,7,Section D,Normal,No
291,23,17182,5,121.4,114.46,6.07,17,0,Section B,Humid,Yes
292,19,16413,18,63.69,208.41,5.38,27,5,Section D,Dry,Yes
293,26,40785,4,41.33,70.21,5.45,20,8,Section C,Humid,No
294,11,44163,4,38.26,143.65,3.92,23,7,Section B,Normal,No
295,4,5542,4,126.37,112.66,7.91,25,5,Section C,Dry,Yes
296,5,23396,16,50.76,267.56,3.45,27,7,Section C,Dry,No
297,19,38785,19,48.6,214.07,5.96,6,1,Section C,Dry,No
298,22,10566,13,134.77,80.24,4.61,8,5,Section D,Normal,Yes
299,27,8510,15,67.41,177.79,3.5,7,1,Section A,Humid,Yes
300,17,7706,12,148.74,247.31,3.72,3,7,Section A,Normal,Yes
301,18,34971,8,55.03,77.45,4.39,1,7,Section B,Dry,Yes
302,7,22064,13,105.84,193.0,4.14,12,1,Section A,Humid,Yes
303,10,18179,12,45.29,239.48,7.12,24,5,Section B,Humid,No
304,21,12198,14,45.03,102.23,5.69,23,8,Section C,Dry,No
305,14,11943,0,125.17,282.16,5.16,3,4,Section C,Humid,Yes
306,5,8656,15,140.36,188.09,1.8,4,8,Section B,Normal,No
307,23,26426,17,136.27,207.99,4.77,13,3,Section B,Humid,No
308,11,37488,17,128.4,138.27,4.89,17,6,Section C,Normal,Yes
309,5,9914,10,95.83,243.5,7.1,8,3,Section B,Dry,Yes
310,10,16294,3,34.71,199.66,4.43,22,7,Section B,Humid,No
311,16,3042,13,63.89,279.41,5.24,12,4,Section B,Humid,No
312,26,26505,11,56.54,171.2,4.07,21,8,Section B,Humid,Yes
313,11,32344,6,52.59,201.8,9.79,14,1,Section B,Dry,No
314,27,37755,6,146.52,193.79,8.57,6,8,Section D,Dry,Yes
315,20,34671,14,39.44,194.48,0.53,1,0,Section D,Dry,No
316,14,48492,18,81.0,228.58,8.59,15,7,Section D,Normal,No
317,7,23908,8,140.4,76.23,3.71,3,4,Section C,Humid,Yes
318,10,29687,19,27.87,200.83,3.39,1,6,Section D,Normal,No
319,7,37044,15,116.93,154.59,1.04,21,5,Section A,Humid,No
320,5,41859,11,99.23,162.63,9.07,23,9,Section A,Dry,No
321,14,48296,3,66.83,158.52,8.79,10,1,Section D,Dry,Yes
322,8,43086,2,141.96,77.68,9.35,14,9,Section D,Dry,Yes
323,28,18517,16,63.57,53.66,7.73,10,9,Section A,Dry,Yes
324,9,1243,17,44.53,76.73,1.15,1,0,Section C,Normal,Yes
325,5,36170,15,114.19,158.86,0.36,24,6,Section C,Normal,No
326,1,10776,2,63.23,144.4,9.11,8,9,Section A,Normal,No
327,20,46591,11,57.29,85.41,5.54,11,4,Section C,Humid,No
328,24,27498,10,141.06,230.92,2.45,6,7,Section B,Normal,Yes
329,26,4587,0,60.01,228.67,0.96,18,3,Section D,Humid,No
330,7,23546,3,94.68,277.83,1.54,5,6,Section A,Normal,Yes
331,26,44906,13,105.09,262.06,1.66,27,8,Section B,Humid,Yes
332,25,25550,5,83.09,256.99,6.44,8,1,Section B,Normal,Yes
333,2,40699,8,60.46,250.48,2.64,27,7,Section A,Humid,No
334,3,14355,1,90.51,270.43,3.13,15,9,Section D,Dry,No
335,24,24890,13,71.96,178.58,6.03,5,7,Section D,Dry,Yes
336,7,11184,7,24.61,69.55,7.92,28,5,Section B,Dry,Yes
337,14,1387,0,60.16,191.66,4.07,22,2,Section D,Dry,Yes
338,28,13584,18,96.23,261.63,0.48,27,7,Section B,Normal,Yes
339,13,28986,4,21.65,73.74,6.56,2,1,Section C,Normal,Yes
340,28,45964,2,104.49,255.09,6.88,3,2,Section C,Normal,No
341,7,28491,4,24.03,84.39,3.43,25,1,Section A,Dry,No
342,14,44242,5,93.17,56.48,0.11,29,2,Section C,Normal,No
343,9,13805,16,27.93,225.55,5.76,27,6,Section D,Normal,No
344,15,12166,7,130.23,211.26,7.77,2,7,Section D,Dry,Yes
345,23,1133,5,138.36,269.53,2.27,23,8,Section A,Normal,No
346,9,27215,15,99.87,215.69,5.18,21,0,Section B,Normal,Yes
347,2,1451,17,36.44,115.87,7.01,5,9,Section C,Dry,No
348,25,42255,19,137.46,280.34,5.93,28,9,Section B,Humid,Yes
349,5,35567,3,114.67,275.69,7.74,27,1,Section D,Normal,Yes
350,4,20253,14,134.28,285.67,4.14,18,4,Section C,Humid,Yes
351,29,48379,18,80.3,234.63,8.71,2,6,Section B,Normal,Yes
352,20,21866,13,74.82,267.4,3.25,4,0,Section D,Humid,Yes
353,6,39973,13,97.07,110.26,1.63,14,6,Section D,Dry,No
354,14,30279,2,79.22,196.33,7.86,6,0,Section B,Humid,Yes
355,18,33363,6,42.19,116.92,0.2,27,0,Section C,Humid,Yes
356,9,24434,16,127.29,131.85,9.51,29,2,Section A,Normal,Yes
357,4,22894,3,44.76,256.86,0.83,19,7,Section B,Dry,No
358,27,1637,12,117.04,227.63,7.9,28,0,Section D,Dry,No
359,3,38924,17,135.81,281.56,1.3,15,5,Section C,Humid,No
360,22,4905,2,88.8,245.59,2.88,25,8,Section D,Dry,No
361,19,31635,5,52.89,122.63,6.05,19,9,Section A,Normal,Yes
362,27,19852,2,22.79,270.6,1.49,17,8,Section A,Dry,No
363,22,8290,13,105.09,69.05,1.06,1,4,Section D,Dry,Yes
364,13,9179,7,91.93,70.4,9.32,1,2,Section B,Humid,No
365,1,24312,1,109.85,118.3,7.23,27,2,Section A,Normal,Yes
366,4,43428,1,143.68,251.26,1.29,27,4,Section D,Dry,No
367,22,6386,13,78.69,281.86,5.24,10,6,Section A,Humid,Yes
368,3,23576,6,107.44,211.4,8.36,7,4,Section A,Dry,Yes
369,19,39317,11,38.52,282.06,0.96,22,3,Section B,Dry,No
370,12,25462,7,38.14,200.07,8.13,10,0,Section B,Dry,Yes
371,7,9033,8,84.13,283.06,8.44,22,5,Section A,Normal,Yes
372,10,40781,17,96.28,156.1,3.48,21,2,Section C,Normal,No
373,13,24948,6,147.99,293.06,9.96,8,6,Section B,Humid,Yes
374,23,47605,5,93.94,102.65,3.99,9,5,Section B,Dry,No
375,5,36308,1,139.25,107.96,9.03,18,4,Section D,Dry,Yes
376,17,287,5,122.38,111.17,8.99,4,7,Section D,Dry,Yes
377,24,27645,14,136.9,91.99,7.16,18,8,Section B,Humid,Yes
378,3,13640,16,131.46,176.91,0.11,5,9,Section C,Humid,Yes
379,17,19885,3,90.45,185.72,6.86,14,5,Section A,Dry,No
380,17,22789,4,20.0,244.66,1.03,23,5,Section C,Normal,No
381,25,949,12,79.17,126.29,0.46,22,7,Section D,Dry,Yes
382,9,3744,12,48.53,277.78,1.89,14,3,Section A,Humid,Yes
383,8,6813,12,112.85,258.29,5.16,16,7,Section C,Dry,Yes
384,20,39768,18,45.72,237.44,4.66,12,2,Section A,Dry,Yes
